,Feature,R-squared,non null values
181,"Blood 1,1,1-Trichloroethane (ng/mL)",7.900234877700196e-05,22414.0
184,"Blood 1,2,3-trichloropropane (ng/ml)",7.709307362091522e-05,17692.0
108,Urinary Trimethylarsine Oxide (ug/L),7.657765584612175e-05,13125.0
62,Mono-(3-carboxypropyl) phthalate (ng/mL),7.443843816490325e-05,24199.0
164,Blood Carbon Tetrachloride (ng/mL),6.20259441026505e-05,23253.0
158,Blood Bromoform (pg/mL),6.151109150587253e-05,23434.0
35,Diethyl dithiophosphate (ug/L),5.128012837607443e-05,20705.0
38,Urinary thiocyanate (ng/mL),5.0699949328381066e-05,28921.0
232,Serum total bilirubin (mg/dL),4.8883659891085784e-05,82746.0
231,Serum total bilirubin:  SI (umol/L),4.821302709379083e-05,82745.0
19,O-Phenylphenol (ug/L),4.803992669577539e-05,10426.0
146,Blood Hexane (ng/mL),4.746515906983717e-05,14369.0
18,"2,4-dichlorophenol (ug/L)",4.450571578240581e-05,18252.0
69,Mono-n-methyl phthalate (ng/mL),4.084456028863315e-05,15777.0
104,Urinary Arsenous acid (ug/L),4.061416965839282e-05,21698.0
32,Dimethyl thiophosphate (ug/L),3.9907326111365826e-05,20914.0
208,N-acetyl-S-(phenyl-2-hydroxyethyl)-L-cysteine (ng/mL),3.9789790807431835e-05,11151.0
205,N-acetyl-s-(1-hydroxyMethyl)-2-propenyl)-L-cysteine (ng/mL),3.937150525068489e-05,11209.0
113,"Cesium, urine (ng/mL)",3.796784236242967e-05,26799.0
33,Diethylthiophosphate (ug/L),3.678417263486278e-05,20820.0
214,Alanine aminotransferase ALT: SI (U/L),3.4070445910749925e-05,82668.0
162,Blood Chloroform (pg/mL),3.1506929600855216e-05,22927.0
179,Blood Styrene (ng/mL),2.7685302046664972e-05,9326.0
105,Urinary Arsenic acid (ug/L),2.646193544741937e-05,21679.0
156,Blood Tetrachloroethene (ng/mL),2.6380834196149117e-05,22977.0
154,"Blood trans-1,2-Dichloroethene (ng/mL)",2.5540160113690646e-05,13398.0
122,"Uranium, urine (ng/mL)",2.3250004735797525e-05,21527.0
329,Mean cell hemoglobin concentration: SI (g/L),1.935730455493445e-05,26433.0
43,Perfluorododecanoic acid (ng/mL),1.4003467454504204e-05,16593.0
167,Blood Dibromomethane (ng/mL),1.298896402379679e-05,13212.0
161,Blood Chlorobenzene (ng/mL),1.1514986960392548e-05,22359.0
426,"Baseline 1st Test Spirometry, Forced Expiratory Volume in the first 3.0 seconds, in mL.",7.662355267945564e-06,20050.0
384,Amount of glucose challenge drank,7.404934146304498e-06,12294.0
403,"In the past 7 days, {have you/has SP} had a cough, cold, phlegm, runny nose or other respiratory illness? Do not count allergies or hay fever.",7.1624065666187064e-06,41900.0
194,N-Acetyl-S-(benzyl)-L-cysteine (ng/mL),6.730649445674253e-06,11271.0
433,"Baseline 1st Test Spirometry, Forced Expiratory Volume in the first 1.0 second Quality Attribute",6.363047732160787e-06,20313.0
212,N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),4.801319366198875e-06,11269.0
237,Enhancement used first reading,3.7366062751731377e-06,72982.0
157,"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",3.270079016126637e-06,13340.0
12,DEET acid (ug/L),3.1743581493381967e-06,13351.0
170,Blood Ethylbenzene (ng/mL),3.109481754193233e-06,23177.0
77,Equol (ng/mL),3.0573649442144912e-06,15309.0
159,Blood Bromodichloromethane (pg/mL),2.59693397008931e-06,23658.0
112,"Cobalt, urine (ng/mL)",2.5528175883193782e-06,26801.0
76,o-Desmethylangolensin (O-DMA) (ng/mL),2.138680329055731e-06,15390.0
14,Desethyl hydroxy DEET (ug/L),1.926809644281491e-06,10376.0
386,OGTT Subsample 2 Year MEC Weight,1.5482100500507912e-06,17102.0
174,Blood isopropylbenzene (ng/mL),1.3048720515218548e-06,17826.0
93,4-fluoro-3-phenoxybenzoic acid (ug/L),8.424331858769563e-07,15429.0
13,DEET (ug/L),7.892427646982725e-07,15427.0
178,Blood o-Xylene (ng/mL),7.158660685346874e-07,23440.0
173,Blood Hexachloroethane (ng/mL),2.987989985436812e-07,12588.0
97,Paranitrophenol (ug/L),2.7465133756177096e-07,15206.0
55,Methyl paraben (ng/mL),1.291655692403637e-07,15727.0
180,Blood Trichloroethene (ng/mL),8.135310358703407e-08,23677.0
186,Blood m-/p-Xylene (ng/mL),4.0422718394772517e-08,23392.0
15,"2,5-dichlorophenol (ug/L)",4.05472422304598e-09,18252.0
147,"Blood 1,1-Dichloroethane (ng/mL)",0.0,13426.0
149,"Blood 1,1-Dichloroethene (ng/mL)",0.0,13277.0
151,"Blood cis-1,2-Dichloroethene (ng/mL)",0.0,13470.0
152,"Blood 1,1,2-Trichloroethane (ng/mL)",0.0,13243.0
