,Feature,R-squared,Non-Null Values,Note
397,O-Phenylphenol (ug/L),4.803992669577539e-05,10426,
398,Blood Hexane (ng/mL),4.746515906983717e-05,14369,
399,"2,4-dichlorophenol (ug/L)",4.450571578240581e-05,18252,
400,Mono-n-methyl phthalate (ng/mL),4.084456028863315e-05,15777,
401,Urinary Arsenous acid (ug/L),4.061416965839282e-05,21698,
402,Dimethyl thiophosphate (ug/L),3.9907326111365826e-05,20914,
403,N-acetyl-S-(phenyl-2-hydroxyethyl)-L-cysteine (ng/mL),3.9789790807431835e-05,11151,
404,N-acetyl-s-(1-hydroxyMethyl)-2-propenyl)-L-cysteine (ng/mL),3.937150525068489e-05,11209,
405,"Cesium, urine (ng/mL)",3.796784236242967e-05,26799,
406,Diethylthiophosphate (ug/L),3.678417263486278e-05,20820,
407,Alanine aminotransferase ALT: SI (U/L),3.4070445910749925e-05,82668,
408,Blood Chloroform (pg/mL),3.1506929600855216e-05,22927,
409,Blood Styrene (ng/mL),2.7685302046664972e-05,9326,
410,Urinary Arsenic acid (ug/L),2.646193544741937e-05,21679,
411,Blood Tetrachloroethene (ng/mL),2.6380834196149117e-05,22977,
412,"Blood trans-1,2-Dichloroethene (ng/mL)",2.5540160113690646e-05,13398,
413,"Uranium, urine (ng/mL)",2.3250004735797525e-05,21527,
414,Mean cell hemoglobin concentration: SI (g/L),1.935730455493445e-05,26433,
415,Perfluorododecanoic acid (ng/mL),1.4003467454504204e-05,16593,
416,Blood Dibromomethane (ng/mL),1.298896402379679e-05,13212,
417,Blood Chlorobenzene (ng/mL),1.1514986960392548e-05,22359,
418,"Baseline 1st Test Spirometry, Forced Expiratory Volume in the first 3.0 seconds, in mL.",7.662355267945564e-06,20050,
419,Amount of glucose challenge drank,7.404934146304498e-06,12294,
420,"In the past 7 days, {have you/has SP} had a cough, cold, phlegm, runny nose or other respiratory illness? Do not count allergies or hay fever.",7.1624065666187064e-06,41900,
421,N-Acetyl-S-(benzyl)-L-cysteine (ng/mL),6.730649445674253e-06,11271,
422,"Baseline 1st Test Spirometry, Forced Expiratory Volume in the first 1.0 second Quality Attribute",6.363047732160787e-06,20313,
423,N-acetyl-s-(trichlorovinyl)-L-cysteine (ng/mL),4.801319366198875e-06,11269,
424,Enhancement used first reading,3.7366062751731377e-06,72982,
425,"Blood 1,1,2,2-Tetrachloroethane (ng/mL)",3.270079016126637e-06,13340,
426,DEET acid (ug/L),3.1743581493381967e-06,13351,
427,Blood Ethylbenzene (ng/mL),3.109481754193233e-06,23177,
428,Equol (ng/mL),3.0573649442144912e-06,15309,
429,Blood Bromodichloromethane (pg/mL),2.59693397008931e-06,23658,
430,"Cobalt, urine (ng/mL)",2.5528175883193782e-06,26801,
431,o-Desmethylangolensin (O-DMA) (ng/mL),2.138680329055731e-06,15390,
432,Desethyl hydroxy DEET (ug/L),1.926809644281491e-06,10376,
433,OGTT Subsample 2 Year MEC Weight,1.5482100500507912e-06,17102,
434,Blood isopropylbenzene (ng/mL),1.3048720515218548e-06,17826,
435,4-fluoro-3-phenoxybenzoic acid (ug/L),8.424331858769563e-07,15429,
436,DEET (ug/L),7.892427646982725e-07,15427,
437,Blood o-Xylene (ng/mL),7.158660685346874e-07,23440,
438,Blood Hexachloroethane (ng/mL),2.987989985436812e-07,12588,
439,Paranitrophenol (ug/L),2.7465133756177096e-07,15206,
440,Methyl paraben (ng/mL),1.291655692403637e-07,15727,
441,Blood Trichloroethene (ng/mL),8.135310358703407e-08,23677,
442,Blood m-/p-Xylene (ng/mL),4.0422718394772517e-08,23392,
443,"2,5-dichlorophenol (ug/L)",4.05472422304598e-09,18252,
444,"Blood 1,1-Dichloroethane (ng/mL)",0.0,13426,
445,"Blood 1,1-Dichloroethene (ng/mL)",0.0,13277,
446,"Blood cis-1,2-Dichloroethene (ng/mL)",0.0,13470,
447,"Blood 1,1,2-Trichloroethane (ng/mL)",0.0,13243,
448,Decanaldehyde (ng/mL),,1411,Not enough data
449,Propanaldehyde (ng/mL),,1714,Not enough data
450,Butyraldehyde (ng/mL),,1740,Not enough data
451,Pentanaldehyde (ng/mL),,1768,Not enough data
452,Hexanaldehyde (ng/mL),,1571,Not enough data
453,Heptaldehyde (ng/mL),,1527,Not enough data
454,Octanaldehyde (ng/mL),,1456,Not enough data
455,Nonanaldehyde (ng/mL),,1534,Not enough data
456,Benzaldehyde (ng/mL),,1468,Not enough data
457,Crotonaldehyde (ng/mL),,1733,Not enough data
458,Isopentanaldehyde (ng/mL),,1798,Not enough data
459,o-Tolualdehyde (ng/mL),,1561,Not enough data
460,"1-Aminonaphthalene, urine (pg/mL)",,2478,Not enough data
461,"2-Aminonaphthalene, urine (pg/mL)",,2488,Not enough data
462,"4-Aminobiphenyl, urine (pg/mL)",,2492,Not enough data
463,"o-Anisidine, urine (pg/mL)",,2332,Not enough data
464,"2,6-Dimethylaniline, urine (pg/mL)",,2375,Not enough data
465,"o-Toluidine, urine (pg/mL)",,2412,Not enough data
466,"4,4'-Diaminodiphenylmethane (ng/mL)",,2831,Not enough data
467,"2,4-Diaminotoluene (ng/mL)",,2595,Not enough data
468,"1,5-Diaminonaphthalene (ng/mL)",,2758,Not enough data
469,"2,6-Diaminotoluene (ng/mL)",,2430,Not enough data
470,p-Phenylenediamine (ng/mL),,2608,Not enough data
471,Atrazine (ug/L),,2588,Not enough data
472,Atrazine mercapturate (ug/L),,7438,Not enough data
473,Diaminochloroatrazine (ug/L),,2588,Not enough data
474,Desethyl atrazine (ug/L),,2482,Not enough data
475,Desisopropyl atrazine (ug/L),,2445,Not enough data
476,Desisopropyl atrazine mercapturate (ug/L),,2480,Not enough data
477,"2,2',4,4',5,5'-hexabromobiphenyl (pg/g)",,2032,Not enough data
478,"2,2',4,4',5,5'-hexabromobiphenyl lipid adj (pg/g)",,2032,Not enough data
479,"2,2',4-tribromodiphenyl ether (pg/g)",,1992,Not enough data
480,"2,2',4-tribromodiphenyl ether lipid adj (ng/g)",,1992,Not enough data
481,"2,4,4'-tribromodiphenyl ether (pg/g)",,1987,Not enough data
482,"2,4,4'-tribromodiphenyl ether lipid adj (ng/g)",,1987,Not enough data
483,"2,2',4,4'-tetrabromodiphenyl ether (pg/g)",,2016,Not enough data
484,"2,2',4,4'-tetrabromodiphenyl ether lipid adj (ng/g)",,2016,Not enough data
485,"2,2',3,4,4'-pentabromodiphenyl ether (pg/g)",,2000,Not enough data
486,"2,2',3,4,4'-pentabromodiphenyl ether lipid adj (ng/g)",,2000,Not enough data
487,"2,2',4,4',5-pentabromodiphenyl ether (pg/g)",,1985,Not enough data
488,"2,2',4,4',5-pentabromodiphenyl ether lipid adj (ng/g)",,1985,Not enough data
489,"2,2',4,4',6-pentabromodiphenyl ether (pg/g)",,2040,Not enough data
490,"2,3',4,4'-tetrabromodiphenyl ether (pg/g)",,1999,Not enough data
491,"2,3',4,4'-tetrabromodiphenyl lipid adj (ng/g)",,1999,Not enough data
492,"2,2',4,4',6-pentabromodiphenyl lipid adj (ng/g)",,2040,Not enough data
493,"2,2',4,4',5,5'-hexabromodiphenyl ether (pg/g)",,2039,Not enough data
494,"2,2',4,4',5,5'-hexabromodiphenyl ether lipid adj (ng/g)",,2039,Not enough data
495,"2,2',4,4',5,6'-hexabromodiphenyl ether (pg/g)",,2014,Not enough data
496,"2,2',4,4',5,6'-hexabromodiphenyl ether lipid adj (ng/g)",,2014,Not enough data
497,"2,2',3,4,4',5',6-heptabromodiphenyl ether (pg/g)",,1993,Not enough data
498,"2,2',3,4,4',5',6-heptabromodiphenyl ether lipid adj (ng/g)",,1993,Not enough data
499,Cobalt (ug/L),,6974,Too few unique ages
500,Chromium (ug/L),,6960,Too few unique ages
501,Serum Copper (ug/dL),,7285,Not enough data
502,"Anabasine, urine (ng/mL)",,1716,Not enough data
503,"Anatabine, urine (ng/mL)",,1716,Not enough data
504,"Total Cotinine, urine (ng/mL)",,8228,Not enough data
505,"Cotinine-n-oxide, urine (ng/mL)",,1716,Not enough data
506,"Total Hydroxycotinine, urine (ng/mL)",,8229,Not enough data
507,"1-(3-Pyridyl)-1-butanol-4-carboxylic acid, urine (ng/mL)",,553,Not enough data
508,"Nicotine, urine (ng/mL)",,1716,Not enough data
509,"Nornicotine, urine (ng/mL)",,1715,Not enough data
510,"Nicotine-1 N-oxide, urine (ng/mL)",,1716,Not enough data
511,"4-hydroxy-4-(3-pyridyl) butanoic acid, urine (ng/mL)",,548,Not enough data
512,3-(Ethylcarbamoyl)benzoic acid (ug/L),,2386,Not enough data
513,PCB199 (ng/g),,4153,Not enough data
514,PCB28 (ng/g),,3715,Not enough data
515,PCB28 Lipid Adj (ng/g),,3715,Not enough data
516,PCB44 (ng/g),,1890,Not enough data
517,PCB44 Lipid Adj (ng/g),,1890,Not enough data
518,PCB49 (ng/g),,1876,Not enough data
519,PCB49 Lipid Adj (ng/g),,1876,Not enough data
520,PCB52 (ng/g),,5346,Not enough data
521,PCB52 Lipid Adj (ng/g),,5346,Not enough data
522,PCB66 (ng/g),,6079,Not enough data
523,PCB66 Lipid Adj (ng/g),,6079,Not enough data
524,PCB74 (ng/g),,6129,Not enough data
525,PCB74 Lipid Adj (ng/g),,6129,Not enough data
526,PCB87 (ng/g),,4190,Not enough data
527,PCB87 Lipid Adj (ng/g),,4190,Not enough data
528,PCB99 (ng/g),,6055,Not enough data
529,PCB99 Lipid Adj (ng/g),,6055,Not enough data
530,PCB101 (ng/g),,6133,Not enough data
531,PCB101 Lipid Adj (ng/g),,6133,Not enough data
532,PCB105 (ng/g),,6101,Not enough data
533,PCB105 Lipid Adj (ng/g),,6101,Not enough data
534,PCB110 (ng/g),,4180,Not enough data
535,PCB110 Lipid Adj (ng/g),,4180,Not enough data
536,PCB118 (ng/g),,6120,Not enough data
537,PCB118 Lipid Adj (ng/g),,6120,Not enough data
538,PCB128 (ng/g),,6102,Not enough data
539,PCB128 Lipid Adj (ng/g),,6102,Not enough data
540,PCB138 (ng/g),,4223,Not enough data
541,PCB138 & 158 (ng/g),,1896,Not enough data
542,PCB138 & 158 Lipid Adj (ng/g),,1896,Not enough data
543,PCB138 Lipid Adj (ng/g),,4223,Not enough data
544,PCB146 (ng/g),,6116,Not enough data
545,PCB146 Lipid Adj (ng/g),,6116,Not enough data
546,PCB149 (ng/g),,4180,Not enough data
547,PCB149 Lipid Adj (ng/g),,4180,Not enough data
548,PCB151 (ng/g),,4177,Not enough data
549,PCB151 Lipid Adj (ng/g),,4177,Not enough data
550,PCB153 (ng/g),,6128,Not enough data
551,PCB153 Lipid Adj (ng/g),,6128,Not enough data
552,PCB156 (ng/g),,6083,Not enough data
553,PCB156 Lipid Adj (ng/g),,6083,Not enough data
554,PCB157 (ng/g),,6049,Not enough data
555,PCB157 Lipid Adj (ng/g),,6049,Not enough data
556,PCB167 (ng/g),,6070,Not enough data
557,PCB167 Lipid Adj (ng/g),,6070,Not enough data
558,PCB170 (ng/g),,5987,Not enough data
559,PCB170 Lipid Adj (ng/g),,5987,Not enough data
560,PCB172 (ng/g),,5978,Not enough data
561,PCB172 Lipid Adj (ng/g),,5978,Not enough data
562,PCB177 (ng/g),,6042,Not enough data
563,PCB177 Lipid Adj (ng/g),,6042,Not enough data
564,PCB178 (ng/g),,6118,Not enough data
565,PCB178 Lipid Adj (ng/g),,6118,Not enough data
566,PCB180 (ng/g),,6122,Not enough data
567,PCB180 Lipid Adj (ng/g),,6122,Not enough data
568,PCB183 (ng/g),,6120,Not enough data
569,PCB183 Lipid Adj (ng/g),,6120,Not enough data
570,PCB187 (ng/g),,6126,Not enough data
571,PCB187 Lipid Adj (ng/g),,6126,Not enough data
572,PCB189 (ng/g),,4115,Not enough data
573,PCB189 Lipid Adj (ng/g),,4115,Not enough data
574,PCB194 (ng/g),,4114,Not enough data
575,PCB194 Lipid Adj (ng/g),,4114,Not enough data
576,PCB195 (ng/g),,4050,Not enough data
577,PCB195 Lipid Adj (ng/g),,4050,Not enough data
578,PCB196 (ng/g),,2299,Not enough data
579,PCB196 & 203 (ng/g),,1878,Not enough data
580,PCB196 & 203 Lipid Adj (ng/g),,1878,Not enough data
581,PCB196 Lipid Adj (ng/g),,2299,Not enough data
582,PCB199 Lipid Adj (ng/g),,4153,Not enough data
583,PCB206 (ng/g),,4075,Not enough data
584,PCB206 Lipid Adj (ng/g),,4075,Not enough data
585,PCB209 (ng/g),,1854,Not enough data
586,PCB209 Lipid Adj (ng/g),,1854,Not enough data
587,Beta-hexachlorocyclohexane (ng/g),,6143,Not enough data
588,Beta-hexachlorocyclohexane Lipid Adj (ng/g),,6143,Not enough data
589,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin (fg/g)",,5029,Not enough data
590,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin Lipid Adj (pg/g)",,5029,Not enough data
591,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin (fg/g)",,3100,Not enough data
592,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin Lipid Adj (pg/g)",,3100,Not enough data
593,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (fg/g)",,4990,Not enough data
594,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin Lipid Adj (pg/g)",,4990,Not enough data
595,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (fg/g)",,4977,Not enough data
596,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin Lipid Adj (pg/g)",,4977,Not enough data
597,"1,2,3,4,6,7,8-Heptachlororodibenzo-p-dioxin (fg/g)",,4988,Not enough data
598,"1,2,3,4,6,7,8-Heptachlororodibenzo-p-dioxin Lipid Adj (pg/g)",,4988,Not enough data
599,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (fg/g)",,4943,Not enough data
600,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin Lipid Adj (pg/g)",,4943,Not enough data
601,"2,3,7,8-Tetrachlorodibenzofuran (fg/g)",,5000,Not enough data
602,"2,3,7,8-Tetrachlorodibenzofuran Lipid Adj (pg/g)",,5000,Not enough data
603,"1,2,3,7,8-Pentachlorodibenzofuran (fg/g)",,5024,Not enough data
604,"1,2,3,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",,5024,Not enough data
605,"2,3,4,7,8-Pentachlorodibenzofuran (fg/g)",,4996,Not enough data
606,"2,3,4,7,8-Pentachlorodibenzofuran Lipid Adj (pg/g)",,4996,Not enough data
607,"1,2,3,4,7,8-Hexachlorodibenzofuran (fg/g)",,4979,Not enough data
608,"1,2,3,4,7,8-Hexachlorodibenzofuran Lipid Adj (pg/g)",,4979,Not enough data
609,"1,2,3,6,7,8-Hexachlorodibenzofuran (fg/g)",,5002,Not enough data
610,"1,2,3,6,7,8-Hexachlorodibenzofuran Lipid Adj (pg/g)",,5002,Not enough data
611,"1,2,3,7,8,9-Hexachlorodibenzofuran (fg/g)",,4962,Not enough data
612,"1,2,3,7,8,9-Hexachlorodibenzofuran Lipid Adj (pg/g)",,4962,Not enough data
613,"2,3,4,6,7,8-Hexchlorodibenzofuran (fg/g)",,4980,Not enough data
614,"2,3,4,6,7,8-Hexchlorodibenzofuran Lipid Adj (pg/g)",,4980,Not enough data
615,"1,2,3,4,6,7,8-Heptachlorodibenzofuran (fg/g)",,4786,Not enough data
616,"1,2,3,4,6,7,8-Heptachlorodibenzofuran (hpcdf) Lipid Adj (pg/g)",,4786,Not enough data
617,"1,2,3,4,7,8,9-Heptachlorodibenzofuran (fg/g)",,3076,Not enough data
618,"1,2,3,4,7,8,9-Heptachlorodibenzofuran Lipid Adj (pg/g)",,3076,Not enough data
619,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran (fg/g)",,4935,Not enough data
620,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran Lipid Adj (pg/g)",,4935,Not enough data
621,"3,3',4,4',5,5'-hexachlorobiphenyl (fg/g)",,4977,Not enough data
622,"3,3',4,4',5,5'-hexachlorobiphenyl Lipid Adj (pg/g)",,4977,Not enough data
623,"3,3',4,4',5-Pentachlorobiphenyl (pncb) (pg/g)",,4982,Not enough data
624,"3,3',4,4',5-Pentachlorobiphenyl (pncb) Lipid Adj (pg/g)",,4982,Not enough data
625,LBXTC2_x,,4958,Not enough data
626,"3,4,4',5-Tetrachlorobiphenyl Lipid Adj (pg/g)",,4958,Not enough data
627,"2,3,7,8-Tetrachlorodienzo-p-dioxin (fg/g)",,5002,Not enough data
628,"2,3,7,8-Tetrachlorodienzo-p-dioxin Lipid Adj (pg/g)",,5002,Not enough data
629,Ethylene Oxide (pmol/g Hb),,4860,Not enough data
630,Bis(2-chloroethyl) phosphate (ug/L),,6769,Not enough data
631,Bis(1-chloro-2-propyl) phosphate (ug/L),,6784,Not enough data
632,"Bis(1,3-dichloro-2-propyl) phosphate (ug/L)",,6774,Not enough data
633,4(tert-butyl)phenyl)phenyl phosphate (ug/L),,2427,Not enough data
634,Dibutyl phosphate (ug/L),,6775,Not enough data
635,Dibenzyl phosphate (ug/L),,6798,Not enough data
636,Di-cresyl phosphates (ug/L),,2430,Not enough data
637,Di-o-cresyl phosphate (ug/L),,2316,Not enough data
638,Di-p-cresyl phosphate (ug/L),,2316,Not enough data
639,Diphenyl phosphate (ug/L),,6793,Not enough data
640,2(isopropyl)phenyl)phenyl phosphate (ug/L),,2416,Not enough data
641,"2,3,4,5-tetrabromobenzoic acid (ug/L)",,6799,Not enough data
642,Formaldehyde (nmol/g Hb),,4521,Not enough data
643,"2-Amino-9H-pyrido[2,3-b]indole (pg/mL)",,2568,Not enough data
644,"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",,2572,Not enough data
645,"2-Aminodipyrido[1,2-a:3',2'-d]imidazole (pg/mL)",,2572,Not enough data
646,Harman (pg/mL),,2571,Not enough data
647,"2-amino-3-methyl-3H-imidazo[4,5-f] quinolone (pg/mL)",,2572,Not enough data
648,"2-Amino-3-methyl-9H-pyrido[2,3-b]indole (pg/mL)",,2569,Not enough data
649,Norharman (pg/mL),,2552,Not enough data
650,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (pg/mL)",,2569,Not enough data
651,"3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (pg/mL)",,2569,Not enough data
652,"1-Methyl-3-amino-5H-pyrido[4,3-b]indole (pg/mL)",,2571,Not enough data
653,Cyanuric acid (ng/mL),,444,Not enough data
654,Melamine (ng/mL),,484,Not enough data
655,Acetamiprid (ug/L),,2427,Not enough data
656,N-Desmethylacetamiprid (ug/L),,2418,Not enough data
657,Clothianidin (ug/L),,2423,Not enough data
658,Imidacloprid (ug/L),,2405,Not enough data
659,5-Hydroxy-Imidacloprid (ug/L),,2312,Not enough data
660,Thiacloprid (ug/L),,2408,Not enough data
661,"N'-Nitrosoanabasine (NAB), urine (ng/mL)",,7923,Not enough data
662,"N'-Nitrosanatabine, urine (ng/mL)",,7912,Not enough data
663,"N'-Nitrosonornicotine, urine (ng/mL)",,7910,Not enough data
664,Acetochlor mercapturate (ug/L),,3008,Not enough data
665,Alachlor mercapturate (ug/L),,1942,Too few unique ages
666,Bensulfuron methyl (ug/L),,7483,Not enough data
667,Carbofuranphenol (ug/L),,7414,Not enough data
668,"cis-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid (ug/L)",,4999,Not enough data
669,Chlorsulfuron (ug/L),,7085,Not enough data
670,3-chloro-7-hydroxy-4-methyl-2H-chromen-2-one/ol (ug/L),,2975,Not enough data
671,2-(diethylamino)-6-methylpyrimidin-4-ol/one (ug/L),,2981,Not enough data
672,Ethametsulfuron methyl (ug/L),,7413,Not enough data
673,Foramsulfuron (ug/L),,7212,Not enough data
674,Halosulfuron (ug/L),,7371,Not enough data
675,Metolachlor mercapturate (ug/L),,3047,Not enough data
676,Methamidophos (ug/L),,7543,Not enough data
677,Mesosulfuron methyl (ug/L),,7555,Not enough data
678,Metsulfuron methyl (ug/L),,7488,Not enough data
679,Nicosulfuron (ug/L),,7314,Not enough data
680,Oxasulfuron (ug/L),,7529,Not enough data
681,Primisulfuron methyl (ug/L),,7127,Not enough data
682,2-isopropoxyphenol (ug/L),,7298,Not enough data
683,Prosulfuron (ug/L),,7274,Not enough data
684,Rimsulfuron (ug/L),,7407,Not enough data
685,Sulfometuron methyl (ug/L),,7123,Not enough data
686,Sulfosulfuron (ug/L),,7514,Not enough data
687,Thifensulfuron methyl (ug/L),,7484,Not enough data
688,Triasulfuron (ug/L),,7337,Not enough data
689,Triflusulfuron methyl (ug/L),,7483,Not enough data
690,Branch perfluorooctanoic acid isomers (ng/mL),,6401,Not enough data
691,Branched iso of PFOS (ng/mL),,6401,Not enough data
692,Linear perfluorooctanoate (ng/mL),,6401,Not enough data
693,Linear perfluorooctane sulfonate (ng/mL),,6401,Not enough data
694,Urinary Branched isomers of perfluorooctanoate (ng/mL),,2328,Not enough data
695,Urinary 9-chlorohexadecafluoro-3-oxanonane-1-sulfonate (ng/mL),,2328,Not enough data
696,"Urinary Adona (ammonium salt of 4,8-dioxa-3H-perfluorononanoate) (ng/mL)",,2328,Not enough data
697,Urinary Perfluoroheptane sulfonic acid (ng/mL),,2328,Not enough data
698,Urinary Perfluoropentanoic acid (ng/mL),,2328,Not enough data
699,Urinary GenX (HFPO-DA propanoateammonium salt of heptafluoropropoxy)-propanoate (ng/mL),,2328,Not enough data
700,Urinary Branched iso of PFOS (ng/mL),,2328,Not enough data
701,Urinary Perfluorobutanoic acid (ng/mL),,2328,Not enough data
702,Urinary Perfluorobutane sulfonic acid (ng/mL),,2737,Not enough data
703,Urinary Perfluorodecanoic acid (ng/mL),,2737,Not enough data
704,Urinary Perfluorohexanoic acid (ng/mL),,2328,Not enough data
705,Urinary Perfluoroheptanoic acid (ng/mL),,2737,Not enough data
706,Urinary Perfluorohexane sulfonic acid (ng/mL),,2737,Not enough data
707,Urinary Perfluorononanoic acid (ng/mL),,2737,Not enough data
708,Urinary Perfluoroundecanoic acid (ng/mL),,2737,Not enough data
709,Urinary 4-tert-octylphenol (ng/mL),,7901,Not enough data
710,Urinary Bisphenol F (ug/L),,5333,Not enough data
711,Urinary Bisphenol S (ug/L),,5333,Not enough data
712,Urinary Triclocarban (ng/mL),,5337,Not enough data
713,Acephate (ug/L),,7542,Not enough data
714,Ethylenethio urea (ug/L),,7325,Not enough data
715,Dimethoate (ug/L),,7656,Not enough data
716,O-methoate (ug/L),,7657,Not enough data
717,Propylenethio urea (ug/L),,7657,Not enough data
718,Aldrin (ng/g),,4221,Not enough data
719,Aldrin Lipid Adj (ng/g),,4221,Not enough data
720,Dieldrin (ng/g),,4111,Not enough data
721,Dieldrin Lipid Adj (ng/g),,4111,Not enough data
722,d-Tocopherol (ug/dL),,7268,Not enough data
723,Endrin (ng/g),,4012,Not enough data
724,Endrin Lipid Adj (ng/g),,4012,Not enough data
725,Gamma-hexachlorocyclohexane (ng/g),,6039,Not enough data
726,Gamma-hexachlorocyclohexane Lipid Adj (ng/g),,6039,Not enough data
727,Hexachlorobenzene (ng/g),,5940,Not enough data
728,Hexachlorobenzene Lipid Adj (ng/g),,5940,Not enough data
729,Heptachlor Epoxide (ng/g),,5811,Not enough data
730,Heptachlor Epoxide Lipid Adj (ng/g),,5811,Not enough data
731,Mirex (ng/g),,6061,Not enough data
732,Mirex Lipid Adj (ng/g),,6061,Not enough data
733,"o,p'-DDT (ng/g)",,5894,Not enough data
734,"o,p'-DDT Lipid Adj (ng/g)",,5894,Not enough data
735,Oxychlordane (ng/g),,5888,Not enough data
736,Oxychlordane Lipid Adj (ng/g),,5888,Not enough data
737,"p,p'-DDE (ng/g)",,6218,Not enough data
738,"p,p'-DDE Lipid Adj (ng/g)",,6218,Not enough data
739,"p,p'-DDT (ng/g)",,5949,Not enough data
740,"p,p'-DDT Lipid Adj (ng/g)",,5949,Not enough data
741,Trans-nonachlor (ng/g),,6174,Not enough data
742,Trans-nonachlor Lipid Adj (ng/g),,6174,Not enough data
743,Mono-2-hydroxy-isobutyl phthalate (ng/mL),,8064,Not enough data
744,"Cyclohexane-1,2-dicarboxylic acid-mono(carboxyoctyl) ester phthalate (ng/mL)",,5737,Not enough data
745,Mono-3-hydroxy-n-butyl phthalate (ng/mL),,8064,Not enough data
746,Mono-oxoisononyl phthalate (ng/mL),,5155,Not enough data
747,3-fluoranthene (ng/L),,2237,Not enough data
748,4-phenanthrene (ng/L),,7061,Not enough data
749,2 & 3-Hydroxyphenanthrene (ng/L),,5685,Not enough data
750,Malathion dicarboxylic acid (ug/L),,7243,Not enough data
751,Pentachlorophenol (ug/L),,2354,Not enough data
752,Mono-2-ethyl-5-carboxypentyl terephthalate (ug/L),,5155,Not enough data
753,Mono-2-ethyl-5-hydroxyhexyl terephthalate (ug/L),,5155,Not enough data
754,"Nickel, Urine (ug/L)",,2791,Not enough data
755,"Strontium, urine (ug/L)",,8228,Not enough data
756,cis-Lycopene (ug/dL),,7268,Not enough data
757,cis-Lutein/Zeaxanthin (ug/dL),,7268,Not enough data
758,Lutein (ug/dL),,7268,Not enough data
759,Phytoene (ug/dL),,7268,Not enough data
760,Phytofluene (ug/dL),,7268,Not enough data
761,Zeaxanthin (ug/dL),,7268,Not enough data
762,N-Nitrosodiethylamine (NDEA) (ng/L),,2470,Not enough data
763,N-Nitrosoethylmethylamine (NMEA) (ng/L),,2509,Not enough data
764,N-Nitrosomorpholine (NMOR) (ng/L),,2384,Not enough data
765,N-Nitrosopiperidine (NPIP) (ng/L),,2529,Not enough data
766,N-Nitrosopyrrolidine (ng/L),,2583,Not enough data
767,Blood Nitromethane (pg/mL),,8000,Not enough data
768,Blood Heptane (ng/mL),,8936,Not enough data
769,Blood Octane (ng/mL),,8988,Not enough data
770,Blood Benzonitrile (ng/mL),,5894,Not enough data
771,Blood Cyclohexane (ng/mL),,8807,Not enough data
772,Blood Diethyl Ether (ng/mL),,8889,Not enough data
773,Blood Ethyl Acetate (ng/mL),,8924,Not enough data
774,Blood Isobutyronitrile (ng/mL),,5843,Not enough data
775,Blood Methylcyclopentane (ng/mL),,8838,Not enough data
776,Blood Methyl Isobutyl Ketone (ng/mL),,2862,Not enough data
777,Blood Tetrahydrofuran (ng/mL),,8899,Not enough data
778,N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),,3015,Not enough data
779,N-Acetyl-S-(2-hydroxy-3-methyl-3-butenyl)-L-cysteine + N-Acetyl-S-(2-hydroxy-2-methyl-3-butenyl)-L-cysteine (ng/mL),,3015,Not enough data
780,N-Acetyl-S-(4-hydroxy-2-methyl-2-butenyl)-L-cysteine (ng/mL),,3015,Not enough data
781,2-thioxothiazolidine-4-carboxylic acid (ng/mL),,8275,Not enough data
782,Serum Zinc (ug/dL),,7284,Not enough data
783,Alanine Aminotransferase (ALT) Comment Code,,5902,Not enough data
784,Serum latex antibody (IU/mL),,5524,Too few unique ages
785,Serum rheumatoid factor antibody,,5297,Too few unique ages
786,Serum h. pylori Cag A seropositivity,,7465,Not enough data
787,Toxoplasmosis IgG Avidity (IU/ml),,86,Too few unique ages
788,Total Bilirubin Comment Code,,5903,Not enough data
789,BIA Status,,16589,Too few unique ages
790,Value of the exponent alpha from Cole modeling,,12971,Too few unique ages
791,Capacitance (nF) of the cell membrane from Cole modeling,,12971,Too few unique ages
792,Estimated extracellular fluid volume (L),,12746,Too few unique ages
793,Estimated fat mass (kg),,12746,Too few unique ages
794,Characteristic frequency of the equivalent circuit (KHz),,12971,Too few unique ages
795,Estimated fat-free mass (kg),,12746,Too few unique ages
796,Quality of fit to Cole model,,16589,Too few unique ages
797,Estimated intracellular fluid volume (L),,12746,Too few unique ages
798,Estimated percent body fat,,12746,Too few unique ages
